CVE-2023-1729
CVE-2021-32142
CVE-2020-35535
CVE-2020-35534
CVE-2020-35533
CVE-2020-35532
CVE-2020-35531
CVE-2020-35530
CVE-2020-24890
CVE-2020-24889
CVE-2020-24870
CVE-2020-22628
CVE-2020-15503
CVE-2020-15365
